kx,ky,dh/dx,dh/dy
0.99993896484375,0.0,0.0012047886848449707,0.0
0.9999389629414228,0.007853663735189354,0.0012048184871673584,0.15500938147306442
0.9999389344102732,0.0157082960287244,0.0012053921818733215,0.3099434971809387
0.9999388108059404,0.023564864124785714,0.0012078210711479187,0.4647269994020462
0.9999384781482519,0.031424332641270626,0.0012143924832344055,0.6192843839526176
0.9999377770616311,0.03928766226176279,0.001228228211402893,0.7735398635268211
0.9999365029712164,0.047155808433616754,0.001253381371498108,0.9274173453450203
0.999934406354227,0.055029720074165664,0.0012947693467140198,1.0808403119444847
0.9999311930460075,0.0629103382870346,0.0013581886887550354,1.2337317392230034
0.9999265246000297,0.07079859509050976,0.0014503449201583862,1.386014074087143
0.9999200187010386,0.07869541215987613,0.0015787705779075623,1.5376090928912163
0.9999112496303966,0.08660169958559275,0.0017518624663352966,1.6884378716349602
0.9998997487825674,0.09451835464912506,0.0019788816571235657,1.8384207338094711
0.9998850052315795,0.10244626061820031,0.0022699013352394104,1.9874771535396576
0.9998664663462008,0.11038628556319152,0.002635844051837921,2.1355257481336594
0.9998435384524624,0.1183392811962729,0.003088429570198059,2.2824841812253
0.9998155875420706,0.12630608173492022,0.0036401525139808655,2.428269162774086
0.9997819400251704,0.13428750279125856,0.00430433452129364,2.5727964118123055
0.9997418835258391,0.14228434028868375,0.0050950124859809875,2.7159805670380592
0.9727237195936254,0.14624246876143931,0.537753514945507,2.7862226590514183
0.9537548132727831,0.15105992230704235,0.9096355065703392,2.871132254600525
0.9391727269919634,0.15632120327580684,1.1933880001306534,2.9631125181913376
0.9267798964220975,0.16174898513128186,1.4325947314500809,3.0571550130844116
0.9157213268866404,0.16724040985458094,1.6442252546548843,3.151395484805107
0.9056302016195257,0.17275820039618212,1.8356164768338203,3.2451437190175056
0.8961397790559598,0.17825328495510467,2.013934813439846,3.3375371173024178
0.8872493326916364,0.18374050372576994,2.179359085857868,3.428805761039257
0.8788361460782889,0.18920847180349873,2.3343395441770554,3.518740698695183
0.8707775332186439,0.19464183938621893,2.481260761618614,3.607078105211258
0.863072766071643,0.20004952566542467,2.6202450320124626,3.6939545050263405
0.8555992019322323,0.20541119466982796,2.753592774271965,3.779039151966572
0.8483561339945205,0.21073275882424047,2.8813801929354668,3.862427242100239
0.8413428400537004,0.21602012543363464,3.003692828118801,3.9442103877663612
0.8345585815607002,0.221279198362027,3.120624229311943,4.024476394057274
0.8278808285092125,0.22648256604139505,3.2343358993530273,4.102811127901077
0.8214306514209447,0.23166740343814493,3.3428213596343994,4.179776452481747
0.8149638649318397,0.23676889002874152,3.4502082467079163,4.254422225058079
0.8087232297278917,0.24185953053093134,3.5524900034070015,4.327820047736168
0.8027079374094935,0.24694520605200365,3.6497865170240402,4.400041006505489
0.7966740276464743,0.25195491090358224,3.7460747212171555,4.470085091888905
0.7907424707139639,0.25692780338283894,3.8394177854061127,4.538519471883774
0.7849125760129148,0.261866646208439,3.9298620894551277,4.605388969182968
0.7791836500613325,0.26677419101259303,4.017456009984016,4.670736573636532
0.7735549961671484,0.2716531792716094,4.102249547839165,4.7346034198999405
0.7680259140368662,0.2765063432048891,4.184294395148754,4.797028727829456
0.7624745081106326,0.28129169684174715,4.265400357544422,4.85749002546072
0.7570214156328698,0.2860545557076177,4.3438070341944695,4.916577041149139
0.7516659369334866,0.29079761967666184,4.4195694997906685,4.974324606359005
0.7464073672501855,0.29552358266731543,4.492743879556656,5.030765511095524
0.7411241441756281,0.3001861833247106,4.565026521682739,5.085363000631332
0.7360573521040172,0.30488493792591254,4.633166968822479,5.139279969036579
0.7308440204872779,0.3094724632831817,4.702052637934685,5.190840318799019
0.7258456966936435,0.31410148126834425,4.766913257539272,5.241774119436741
0.7208204751615196,0.31867139846327397,4.83093798905611,5.290970295667648
0.7158882920010551,0.32323595807474614,4.892606668174267,5.339020177721977
0.7109282422069672,0.3277424087621259,4.953439109027386,5.385381378233433
0.7060600374728904,0.33224663402612614,5.011975675821304,5.430641107261181
0.7011630427890065,0.33669369737572125,5.0696757063269615,5.474259722977877
0.6963567198514393,0.3411416369876532,5.125140659511089,5.516818139702082
0.6916403375728136,0.34559308761246643,5.178431935608387,5.558331683278084
0.6868937021813618,0.34998982235885057,5.230917148292065,5.598267890512943
0.6822358381853892,0.3543931409145947,5.281290151178837,5.637193419039249
0.6775468849028086,0.3587426091390126,5.330857113003731,5.674583908170462
0.6729455453183553,0.36310171421744974,5.378373466432095,5.710994228720665
0.6683123192113638,0.3674078066041869,5.4250835329294205,5.745910190045834
0.6637655570401739,0.37172657286078215,5.469804499298334,5.779872749000788
0.6593044826761812,0.37606063750695495,5.51259808242321,5.812885973602533
0.6546920560458885,0.38027540589263503,5.555704962462187,5.843956995755434
0.6502824907313302,0.3845759929624506,5.595825374126434,5.874604541808367
0.6458389667702656,0.3888266835775548,5.635168444365263,5.903842806816101
0.6413613623040124,0.39302674830239925,5.673702444881201,5.931698761880398
0.6369667698360734,0.3972485339177186,5.710430454462767,5.958658032119274
0.6326543568744157,0.40149466354788654,5.745413616299629,5.98471550270915
0.6281899329021138,0.4056171017361657,5.780518878251314,6.008995067328215
0.6239234332739805,0.4098410918400823,5.813005328178406,6.03282730653882
0.6196209326857982,0.4140174708282822,5.844708293676376,6.055346485227346
0.6152823945169765,0.41814548352364345,5.875595532357693,6.076580531895161
0.611023325487185,0.4223042084245956,5.90485529974103,6.096939157694578
0.6067276045271354,0.4264153023981351,5.933296035975218,6.116041731089354
0.6025101314003907,0.43056009840778064,5.960167523473501,6.134268131107092
