kx,ky,vx,vy
0.46453857421875,0.0,0.7028708271682262,0.0
0.4645385733419408,0.0036401387718430376,0.7027900544926524,0.009597851894795895
0.4645385602040523,0.007280277543655778,0.702547992579639,0.019190683960914612
0.4643143786813783,0.010883697386836214,0.706513618119061,0.028706703335046768
0.4641721425235637,0.014500486276090865,0.7087171664461493,0.038248514756560326
0.46392768649959887,0.01810039733095418,0.7127436064183712,0.04776183422654867
0.46368297427516963,0.021700192757826423,0.7166029587388039,0.0572725348174572
0.46338719479682644,0.02529147055776655,0.7212784457951784,0.06677004043012857
0.46307025440693533,0.02887918025898932,0.7261830577626824,0.07625908125191927
0.46268307974387446,0.0324551060574452,0.732259863987565,0.08573703933507204
0.46221082008318676,0.03601669030561507,0.7397826993837953,0.09521025698632002
0.46171867703424513,0.03957477403339662,0.7474806262180209,0.1046822015196085
0.4612253398055239,0.0431325120960931,0.7549868999049067,0.11414942145347595
0.46066214744019834,0.04667827317691411,0.763609029352665,0.12362067867070436
0.46006165275531963,0.0502174854287348,0.7727082781493664,0.1330955633893609
0.45945826911609683,0.0537559981962145,0.7816178556531668,0.1425663148984313
0.45874722079920066,0.057275742037765254,0.7923127170652151,0.15206666570156813
0.4581217954473059,0.06081001086816241,0.8011215003207326,0.16153209935873747
0.4573724500992241,0.06432246354247603,0.8119876263663173,0.17104285024106503
0.4566195866906498,0.06783392082378809,0.8226259769871831,0.18055367469787598
0.45578589041658435,0.0713306640986781,0.8344645341858268,0.19010833743959665
0.4550384186361633,0.07484231008624026,0.8443869259208441,0.19960777927190065
0.4541643662675523,0.07833081788005225,0.8563221087679267,0.20918778516352177
0.4532846094514065,0.08181769423603387,0.8680158657953143,0.21877378039062023
0.4523988663057678,0.08530285864118,0.879464277997613,0.2283639321103692
0.45150682854036694,0.08878626122498853,0.8906638734042645,0.2379565667361021
0.4506081721886542,0.09226785427842889,0.901611465960741,0.24755009450018406
0.44957964734383293,0.09572417261485565,0.9144947957247496,0.2572779506444931
0.448547589991492,0.09917874397590073,0.9270239248871803,0.26701830234378576
0.4476222942609567,0.10265302022311197,0.9372520465403795,0.27663006633520126
0.4465695784773258,0.1061016333084692,0.949298920109868,0.2863975940272212
0.44550798104051625,0.10954735462280954,0.9610563218593597,0.2961801793426275
0.44443711619710136,0.11299006638554639,0.9725209884345531,0.3059772374108434
0.44335659912940567,0.11642962075084637,0.9836897077038884,0.3157881824299693
0.4422660138661673,0.11986592336866515,0.9945596968755126,0.3256126884371042
0.44115928677749083,0.12329762073795862,1.0052231568843126,0.33546035178005695
0.43992800440156704,0.1267012622515275,1.0174704222008586,0.3455326333642006
0.4388045306149675,0.1301264511119421,1.0274131828919053,0.3554075248539448
0.43755160743599025,0.13352168304709208,1.0389685304835439,0.36553522385656834
0.43639625628348166,0.13693675933885607,1.0484011815860868,0.37546341866254807
0.4351101520099523,0.14032053660553748,1.0594106270000339,0.3856693459674716
0.43393667918471895,0.1437283152049107,1.0680695567280054,0.39562028367072344
0.43262343523386954,0.14710151913372022,1.0783949326723814,0.405890304595232
0.4313372728787685,0.15047889369676293,1.087721275165677,0.41609544958919287
0.43008020799961144,0.1538612392901305,1.0960277896374464,0.4262174954637885
0.42872286941200877,0.15721666201985735,1.1052990714088082,0.43659485410898924
0.4274172744252565,0.16058276078958245,1.113190927542746,0.4468239080160856
0.42608810652890333,0.16394054018604076,1.1208521397784352,0.45710349176079035
0.424682792558302,0.167275921768878,1.1290470268577337,0.4675946943461895
0.42326053249878254,0.1706039465911183,1.136872896924615,0.47813037969172
0.4218209319532688,0.17392427031726784,1.1443273769691586,0.488711254671216
0.42049147011182086,0.17727263635608223,1.149579775519669,0.49891056399792433
0.4190161245215096,0.1805773650665068,1.1563036618754268,0.5095699578523636
0.4175221933291543,0.1838734818085802,1.1626506354659796,0.5202770140022039
0.4160092919116099,0.1871606733328667,1.1686188001185656,0.5310324775055051
0.4145154698915724,0.1904504751150523,1.1736810058355331,0.5416921079158783
0.4130535279240216,0.19374719589492917,1.1776768090203404,0.5521925482898951
0.4114815042594503,0.19700649781993732,1.1825188286602497,0.5630826493725181
0.40988897889864434,0.20025554642949203,1.1869770055636764,0.5740235783159733
0.40827558952997733,0.20349398957370504,1.1910505443811417,0.5850157383829355
0.4067699123948319,0.20676524350250666,1.1930774869397283,0.5955016724765301
0.40511389620628074,0.20998220639961465,1.1963987173512578,0.6065816152840853
0.4034359765690285,0.21318748534336682,1.1993342079222202,0.6177132213488221
0.4017358269825035,0.2163807040038634,1.2018840769305825,0.628896382637322
0.4001422922685416,0.21960916883713003,1.2024617362767458,0.6395137030631304
0.39839684473630455,0.2227779800706698,1.2042603585869074,0.6507834391668439
0.3966282416236648,0.22593358179732703,1.2056752610951662,0.6621033437550068
0.394965433940012,0.22912640640342688,1.2051753615960479,0.6728107323870063
0.3931498681008336,0.23225515893191118,1.2058447236195207,0.6842119712382555
0.3913103194883408,0.23536950368717732,1.2061349237337708,0.6956602511927485
0.3895757726625712,0.23852307030676384,1.204569537192583,0.7064471831545234
0.38768768648628854,0.24160816435717927,1.204125857912004,0.7179685290902853
0.38584485487410586,0.24470819123027646,1.2025279803201556,0.7291327035054564
0.38396640534331805,0.24778821329398626,1.2007002858445048,0.7403822252526879
0.38200382143365846,0.25082575097868137,1.199168661609292,0.7520055044442415
0.38014478533102647,0.25390621848265454,1.195883497595787,0.7628822857514024
0.37813156268879894,0.25691023736468566,1.1936508072540164,0.7745551764965057
0.3762213450428751,0.2599586659223314,1.1897064559161663,0.7854456510394812
