theta,I_n,I_u
0.0,-0.2592614198662141,8.570617754560338
0.014516671013162147,-0.26545438577279346,3.589995335528899
0.02944531016529476,-0.27614417561167537,2.1370631711370214
0.04573274602106238,-0.29256354465730844,1.3916760426744017
0.0648943517705345,-0.314603037479195,0.9612908579185342
0.09028121723857944,-0.3228742685458183,0.7043160009192057
0.1330975413291377,-0.32630199392289816,0.5672758944656193
0.2057797382321515,-0.23096881671159722,0.46066134504418066
0.2784871091788273,-0.16639095937861426,0.2897600189960645
0.3511345242236185,-0.11687128457498057,0.19015931016947377
0.42361707686511896,-0.08444730922897495,0.14768451640365
0.49585403095509295,-0.066736386697583,0.10926619659048559
0.5678187922172601,-0.05580785795412824,0.09473612777414751
0.6395401962751698,-0.04841529380118372,0.07205660311104933
0.7110899465296662,-0.04140991550178574,0.059673679343881555
0.782553237899237,-0.026479735636285265,0.056136330499822445
0.8540136338063359,0.019455458041714526,0.05246046554995651
0.9255533985352877,0.07081230565399702,0.059360687103584886
0.9972581146482006,0.04152819875296866,0.04074307585823513
1.0692021987215496,-0.0061983609344371865,0.03497056525202963
1.1414172551226793,0.024962197782125932,0.061140764910076646
1.2138829729834386,0.08712134238991134,0.03910853930234187
1.2865210105529545,0.06932237090618378,0.049222000426552816
1.3592272807001873,0.05248795456755591,0.0671186465755762
1.4319131359566353,0.0626269738120018,0.07839522767033212
1.504542186784746,0.03874760120594496,0.14498054864140497
1.6370585724912354,0.08269024984611051,0.14114928516406713
1.7096876292908325,0.08508411742425942,0.08997222944753427
1.7823734900918549,0.05014718490413469,0.08187939010756386
1.8550797582791834,0.06390001319301612,0.05296811253643128
1.9277177816876696,0.09327058720938464,0.04414679295617377
2.000183475695909,0.035992394288625246,0.064534079009362
2.072398503003644,0.06310640132404811,0.09848216149230035
2.14434255670223,0.03730228499852935,0.03098520098461033
2.2160472485818,0.022451529458060383,0.011254936066589727
2.287587001227302,0.02381042119843356,0.022870210193762487
2.3590473963233123,0.021894294977415702,0.04191865445970978
2.430510970890155,0.033025794514285535,0.06241343279867794
2.5020613492260697,0.025152515329484988,0.09051132632652131
2.573782934833438,0.02058659796354075,0.10518875974576235
2.6457469080496763,0.017534798875567296,0.11610789445516917
2.71798406042615,0.020715454874294513,0.12563238141285674
2.7904666563359584,0.029841851507675196,0.13270768384803777
2.863114316814092,0.07234742211681072,0.1400646846433135
2.9358219144134,-0.045343108953022154,0.14393643222144403
3.0085038992288355,-0.07608078976912193,0.16259852641255262
3.051320189602233,-0.04522704087554004,0.1397286418240451
3.07670704295651,-0.08654852461664618,0.14203694811036496
3.095868743112839,-0.17338972473885697,0.1520889667469641
3.112156229536043,-0.39715407148251125,0.1597000218459663
3.127084853513984,-0.6169179304650645,0.15740269653746686
3.141592653589793,-0.7331537423884534,0.15648699088799295
3.1561093246029555,-0.5966811695722575,0.1625422744253357
3.171037963755088,-0.37177102571725174,0.16679270078571332
3.1873253996108555,-0.16254310528498717,0.155083598786808
3.206487005360328,-0.0698380144502787,0.14518477839444766
3.2318738708283727,-0.03704501317558969,0.15059404576944513
3.274690194918931,-0.08471142824332174,0.17308711122615902
3.3473723918219447,-0.033235265092692846,0.15011629736057983
3.4200797627686206,0.049291708433012706,0.14940109177330227
3.4927271778134115,0.026593000883093416,0.13968427429638886
3.565209730454912,0.020163289596840793,0.13239249918085447
3.6374466845448863,0.015995121455950015,0.12222471354111271
3.7094114458070533,0.01949661856636896,0.11039927483359371
3.781132849864963,0.024750987918873323,0.09469060317392608
3.852682600119459,0.03448144904342785,0.0662219863534502
3.9241458914890304,0.029227045936697893,0.044291888622800264
3.995606287396129,0.037598204381833866,0.023102731908923667
4.06714605212508,0.03376138644745019,0.009642788376103663
4.138850768237994,0.04854555942281359,0.028420480633030563
4.210794852311343,0.07340939130250088,0.09511956114613927
4.283009908712472,0.04464915175253831,0.059695900142870385
4.355475626573232,0.09229254476868548,0.038589923575694136
4.428113664142748,0.07270153967072458,0.048141942548918716
4.50081993428998,0.07115530963001591,0.07811340545127848
4.573505789546428,0.08870251916568896,0.08739525444128568
4.646134840374539,0.06116554863454167,0.16133736242859367
4.7786512260810285,0.046195470196941445,0.11080823581433236
4.851280282880626,0.05491861075220193,0.08603173007053892
4.923966143681648,0.043064775388980424,0.0769169583073569
4.9966724118689765,0.05783470374938718,0.053605694052102734
5.069310435277463,0.07382780447034445,0.038892048321584466
5.141776129285702,0.011381428043879826,0.06535482952004636
5.213991156593437,-0.017365141908475355,0.04016718013679177
5.285935210292023,0.03609457843959457,0.04629309249544886
5.357639902171593,0.06884976368393282,0.06473264900052955
5.429179654817095,0.018847590645228,0.0594118091922453
5.500640049913105,-0.02664668109009697,0.058859603423282045
5.572103624479948,-0.04133956915926581,0.05997788620848047
5.643654002815863,-0.04815212191113843,0.07050788483972097
5.715375588423231,-0.05529002019523939,0.09306563962922708
5.787339561639469,-0.06577272284095513,0.10687662910733604
5.859576714015943,-0.08255729799031894,0.14571422832037284
5.9320593099257515,-0.11292882354366844,0.1885187191212392
6.004706970403885,-0.15847419142621552,0.2807239773132746
6.077414568003193,-0.2139853058172459,0.46625540147748223
6.150096552818629,-0.24499614507454184,0.4401722483479066
6.192912843192026,-0.26186236715117,0.5541037363677831
6.218299696546303,-0.26900981380698585,0.833603195772846
6.237461396702632,-0.26321279629287236,1.2793944987703831
6.253748883125836,-0.25864095307326446,2.0524114962646505
6.268677507103777,-0.2571667918288973,3.566618230584792
