T,hwhm
0.001264551874160877,1.8983549102726776
0.0013040691202284044,1.9007625931586527
0.0013435863662959319,1.9045180606387828
0.001383103612363459,1.9067177998055351
0.0014226208584309865,1.9102319204134304
0.001462138104498514,1.9109208017998476
0.0015016553505660414,1.9134801648585982
0.0015411725966335689,1.9148767229737147
0.0015806898427010961,1.9173192235514276
0.0016202070887686236,1.9186227257928086
0.001659724334836151,1.9212245121514693
0.0016992415809036784,1.9216420433327817
0.001738758826971206,1.9235580898484566
0.0017782760730387333,1.9246981770891103
0.0018177933191062606,1.9250607883901885
0.001857310565173788,1.9281643989201758
0.0018968278112413155,1.9299708430835156
